"Animal
No",Date,Sex,Age,Repro,Season,dens,hab,veg,FAA_index_I,FAA_index_II,StrongyEPG,CryptoEPG,AscaridEPG,AnoploEPG,FGM,rawash,ndf,adf,adl,cellul,hemic,energy,N,Prot,Ca,Cu,Fe,K,Mg,Mn,Mo,Na,P,S,Zn
158,6/17/2016,f,mat,preg,w,1,lg,m,FLD0220,FLD0349,1050,50,0,0,195.40,19.42,64.94,34.80,8.51,26.29,30.14,17.59,1.22,7.59,,,,,,,,,,,
159,6/17/2016,f,sa,,w,1,lg,m,FLD0143,FLD0115,2725,125,0,0,265.15,18.97,63.54,34.67,7.88,26.79,28.87,17.89,1.16,7.24,,,,,,,,,,,
160,6/21/2016,m,mat,h,d,3,lg,m,FLD0122,FLD0304,1350,50,25,25,129.40,17.97,63.71,35.61,9.06,26.56,28.10,17.50,1.12,7.02,,,,,,,,,,,
161,6/21/2016,f,mat,u,d,3,lg,m,FLD0200,FLD0203,1350,150,0,0,115.20,18.68,60.73,33.98,8.10,25.88,26.75,17.40,1.18,7.39,,,,,,,,,,,
162,6/21/2016,m,juv,,d,3,lg,m,FLD0255,FLD0232,0,0,0,25,166.30,17.90,62.70,35.96,8.68,27.29,26.73,17.65,1.33,8.35,,,,,,,,,,,
163,6/21/2016,f,mat,preg,d,3,lg,m,FLD0168,FLD0384,1175,125,0,0,164.95,20.96,59.88,33.10,8.00,25.10,26.78,16.64,1.18,7.35,,,,,,,,,,,
164,6/23/2016,m,sa,,d,2,lg,m,FLD0178,FLD0295,3675,100,25,25,83.25,18.28,61.61,32.44,8.97,23.46,29.17,18.12,1.32,8.22,,,,,,,,,,,
165,6/23/2016,m,mat,h,d,2,lg,m,FLD0179,FLD0331,700,25,0,0,120.60,14.40,65.85,41.58,13.08,28.49,24.27,18.36,1.27,7.94,,,,,,,,,,,
166,6/23/2016,f,juv,,d,2,lg,m,FLD0238,FLD0262,1250,0,0,0,138.10,17.97,62.96,34.44,9.05,25.40,28.52,17.98,1.05,6.57,,,,,,,,,,,
167,6/23/2016,f,mat,lact,d,2,lg,m,FLD0223,FLD0099,825,0,0,0,98.85,17.16,66.29,37.08,9.62,27.46,29.21,17.66,1.02,6.43,,,,,,,,,,,
168,6/27/2016,m,mat,h,d,3,lg,m,FLD0297,FLD0227,425,0,0,0,199.05,13.87,72.01,44.98,12.36,32.62,27.03,18.15,1.11,6.97,,,,,,,,,,,
169,6/27/2016,f,mat,u,d,3,lg,m,FLD0279,FLD0180,675,0,0,0,137.45,14.20,71.71,42.62,11.57,31.05,29.09,18.04,0.56,6.49,,,,,,,,,,,
170,6/27/2016,?,juv,,d,3,lg,m,FLD0253,FLD0250,275,0,0,0,189.00,,,,,,,,,,,,,,,,,,,,
171,6/28/2016,f,mat,u,d,3,lg,m,FLD0229,FLD0171,975,0,0,0,183.40,21.55,59.27,32.57,7.99,24.58,26.70,16.87,1.01,6.29,,,,,,,,,,,
172,6/28/2016,f,mat,u,d,3,lg,m,FLD0113,FLD0135,875,0,0,0,119.90,18.71,63.00,34.50,8.38,26.13,28.49,17.53,1.25,7.80,,,,,,,,,,,
173,6/28/2016,m,mat,h,d,3,lg,m,FLD0134,FLD0293,800,0,0,0,144.70,19.86,64.65,37.07,9.01,28.06,27.58,17.02,1.04,6.51,,,,,,,,,,,
174,6/28/2016,m,sa,,d,2,lg,m,FLD0301,FLD0265,1625,0,0,0,190.20,15.75,65.34,36.60,8.72,27.88,28.75,18.39,1.24,7.74,,,,,,,,,,,
175,6/28/2016,m,sa,,d,3,lg,m,FLD0334,FLD0317,1775,0,0,0,103.35,18.89,59.88,33.92,8.27,25.64,25.97,17.71,1.49,9.24,,,,,,,,,,,
176,6/28/2016,f,mat,lact,d,3,lg,m,FLD0319,FLD0242,875,0,0,0,181.25,15.56,62.20,37.14,11.08,26.06,25.06,18.65,1.36,8.49,,,,,,,,,,,
178,6/27/2016,m,sa,,d,3,lg,m,FLD0231,FLD0302,1525,100,100,0,179.00,,,,,,,,,,,,,,,,,,,,
179,6/27/2016,f,mat,u,d,3,lg,m,FLD0353,FLD0212,1325,0,0,0,164.25,,,,,,,,,,,,,,,,,,,,
180,6/27/2016,m,mat,b,d,3,lg,m,FLD0127,FLD0303,1150,25,0,75,95.20,,,,,,,,,,,,,,,,,,,,
181,6/27/2016,m,mat,h,d,3,lg,m,FLD0219,FLD0291,525,0,0,0,180.90,,,,,,,,,,,,,,,,,,,,
185,6/29/2016,f,mat,lact,d,3,lg,m,FLD0151,FLD0177,,,,,223.25,,,,,,,,,,,,,,,,,,,,
186,6/29/2016,f,mat,lact,d,3,lg,m,FLD0210,FLD0383,,,,,150.55,,,,,,,,,,,,,,,,,,,,
187,6/29/2016,m,mat,h,d,1,lg,m,FLD0329,FLD0323,500,0,0,0,218.90,14.33,66.28,38.44,9.45,28.99,27.84,18.24,1.06,6.64,,,,,,,,,,,
189,6/29/2016,f,mat,preg,d,1,lg,m,FLD0278,FLD0202,425,0,0,0,198.85,15.40,61.59,34.68,8.65,26.03,26.91,18.05,1.25,7.80,,,,,,,,,,,
190,6/29/2016,f,mat,u,d,3,lg,m,FLD0333,FLD0192,2200,0,0,0,166.75,18.38,58.96,34.20,9.35,24.85,24.76,17.76,1.18,7.35,,,,,,,,,,,
191,6/29/2016,m,mat,h,d,1,lg,m,FLD0153,FLD0145,1050,0,0,0,228.80,21.51,60.56,35.22,10.85,24.37,25.33,16.97,1.39,8.70,,,,,,,,,,,
192,6/29/2016,f,mat,u,d,3,lg,m,FLD0286,FLD0276,500,0,0,0,123.30,17.44,64.03,35.97,8.55,27.43,28.06,17.86,1.15,7.20,,,,,,,,,,,
193,6/29/2016,f,sa,,d,3,lg,m,FLD0233,FLD0222,3175,100,50,50,139.70,18.06,64.84,34.46,8.79,25.66,30.38,17.75,1.27,7.91,,,,,,,,,,,
195,7/1/2016,f,mat,u,d,2,lg,d,FLD0123,FLD0320,550,0,200,0,205.10,14.59,66.94,39.08,10.02,29.06,27.86,18.51,1.29,8.06,,,,,,,,,,,
196,7/1/2016,?,fl,,d,3,lg,d,FLD0309,FLD0215,275,0,0,0,112.35,17.58,60.71,33.67,9.05,24.61,27.04,18.13,1.60,9.98,,,,,,,,,,,
197,7/1/2016,?,fl,,d,2,lg,d,FLD0221,FLD0130,1550,0,100,0,189.95,14.33,68.36,40.77,11.33,29.44,27.58,18.72,1.11,6.97,,,,,,,,,,,
198,7/1/2016,f,mat,lact,d,3,lg,d,FLD0100,FLD0113,1525,0,0,0,102.25,17.65,63.83,36.04,10.21,25.83,27.78,17.81,1.10,6.87,,,,,,,,,,,
199,7/1/2016,m,mat,h,d,2,lg,d,FLD0181,FLD0245,800,0,0,0,272.70,13.89,70.35,43.76,12.53,31.23,26.59,18.33,1.14,7.12,,,,,,,,,,,
200,7/1/2016,f,mat,lact,d,3,lg,d,FLD0148,FLD0209,1425,0,0,0,170.55,17.33,66.15,38.04,11.33,26.71,28.11,17.96,1.10,6.86,,,,,,,,,,,
201,7/1/2016,f,mat,preg,d,2,lg,d,FLD0265,FLD0160,1675,500,25,0,197.50,21.03,60.22,34.42,9.02,25.41,25.80,17.11,1.13,7.02,,,,,,,,,,,
204,7/2/2016,m,mat,h,d,3,lg,d,FLD0191,FLD0233,425,0,0,0,187.60,16.64,62.68,34.41,8.19,26.22,28.27,17.04,1.16,7.24,,,,,,,,,,,
205,7/2/2016,f,mat,lact,d,3,lg,d,FLD0317,FLD0316,1525,0,100,0,162.35,18.25,58.67,31.52,8.32,23.20,27.15,18.07,1.60,10.00,,,,,,,,,,,
206,7/2/2016,f,mat,preg,d,2,lg,d,FLD0339,FLD0327,625,125,100,0,202.60,17.71,63.71,35.25,8.36,26.89,28.47,17.52,1.11,6.95,,,,,,,,,,,
207,7/2/2016,m,mat,h,d,3,lg,d,FLD0159,FLD0211,1350,50,25,25,146.75,14.64,69.66,38.58,8.92,29.66,31.08,17.98,0.91,5.70,,,,,,,,,,,
208,7/2/2016,f,mat,u,d,3,lg,d,FLD0332,FLD0264,1475,50,225,25,105.55,16.96,66.70,35.75,8.63,27.12,30.96,17.50,0.98,6.12,,,,,,,,,,,
209,7/2/2016,f,mat,preg,d,3,lg,d,FLD0258,FLD0157,1100,0,0,0,150.20,17.49,63.53,33.92,9.13,24.80,29.61,17.39,1.03,6.41,,,,,,,,,,,
210,7/3/2016,f,mat,u,d,3,lg,d,FLD0117,FLD0200,500,0,225,0,148.15,15.87,,,,,,17.84,1.06,6.65,,,,,,,,,,,
211,7/3/2016,f,mat,preg,d,3,lg,d,FLD0275,FLD0270,1175,0,0,0,178.60,17.90,67.85,37.40,8.65,28.74,30.45,17.58,1.03,6.43,,,,,,,,,,,
212,7/3/2016,f,mat,lact,d,3,lg,d,FLD0170,FLD0328,1450,0,0,0,94.10,16.55,65.32,36.26,8.59,27.67,29.06,17.84,0.94,5.85,,,,,,,,,,,
213,7/3/2016,m,mat,h,d,3,lg,d,FLD0321,FLD0221,2050,0,0,0,171.30,17.27,67.08,36.46,8.45,28.01,30.62,17.83,1.07,6.64,,,,,,,,,,,
215,7/4/2016,f,mat,preg,d,3,lg,d,FLD0271,FLD0324,1175,0,0,0,112.35,,,,,,,,,,,,,,,,,,,,
216,7/4/2016,m,mat,b,d,3,lg,d,FLD0182,FLD0310,1025,50,225,0,145.30,,,,,,,,,,,,,,,,,,,,
217,7/4/2016,m,mat,h,d,3,lg,d,FLD0162,FLD0112,1275,0,0,0,203.25,,,,,,,,,,,,,,,,,,,,
218,7/4/2016,f,mat,u,d,3,lg,d,FLD0141,FLD0119,1300,0,0,0,200.70,,,,,,,,,,,,,,,,,,,,
219,7/4/2016,m,mat,b,d,3,lg,d,FLD0247,FLD0237,350,0,150,25,105.05,,,,,,,,,,,,,,,,,,,,
220,7/4/2016,m,mat,b,d,3,lg,d,FLD0196,FLD0225,875,125,125,0,168.30,,,,,,,,,,,,,,,,,,,,
222,7/5/2016,f,mat,u,d,3,lg,d,FLD0283,FLD0220,1600,50,0,0,160.70,16.33,65.45,35.83,8.38,27.45,29.62,17.82,1.06,6.62,,,,,,,,,,,
223,7/5/2016,f,mat,lact,d,3,lg,d,FLD0188,FLD0153,875,0,0,0,75.45,33.18,50.20,26.67,6.28,20.39,23.52,13.50,1.15,7.19,,,,,,,,,,,
224,7/5/2016,f,mat,u,d,3,lg,d,FLD0244,FLD0197,1350,0,0,0,147.20,17.70,59.40,33.34,7.69,25.65,26.06,17.58,1.52,9.47,,,,,,,,,,,
225,7/5/2016,f,mat,preg,d,3,lg,d,FLD0257,FLD0126,850,0,375,75,129.75,16.05,66.37,36.83,8.23,28.60,29.54,17.52,1.10,6.87,,,,,,,,,,,
226,7/5/2016,f,mat,lact,d,3,lg,d,FLD0145,FLD0360,1425,0,0,0,52.10,16.09,66.54,36.13,8.72,27.42,30.41,17.59,1.05,6.58,,,,,,,,,,,
227,7/6/2016,f,mat,u,d,3,lg,d,FLD0126,FLD0292,1350,150,0,0,174.10,,,,,,,,,,,,,,,,,,,,
228,7/6/2016,f,mat,lact,d,3,lg,d,FLD0340,FLD0174,400,0,0,0,143.15,,,,,,,,,,,,,,,,,,,,
229,7/6/2016,f,mat,lact,d,3,lg,d,FLD0133,FLD0111,625,50,175,50,155.30,,,,,,,,,,,,,,,,,,,,
232,7/11/2016,f,mat,preg,d,3,lg,d,FLD0235,FLD0191,2975,0,0,0,90.15,,,,,,,,,,,,,,,,,,,,
233,7/11/2016,f,mat,lact,d,3,lg,d,FLD0098,FLD0330,650,0,0,0,154.35,,,,,,,,,,,,,,,,,,,,
235,7/15/2016,m,mat,b,d,2,lg,d,FLD0290,FLD0381,1025,75,0,50,55.60,13.11,70.95,38.62,9.28,29.35,32.33,17.90,0.87,5.44,,,,,,,,,,,
237,7/15/2016,m,mat,b,d,2,lg,d,FLD0352,FLD0371,1400,25,0,50,130.30,14.05,70.38,39.43,9.48,29.95,30.96,18.00,0.91,5.70,,,,,,,,,,,
238,7/15/2016,f,mat,u,d,2,lg,d,FLD0264,FLD0284,1050,0,0,0,102.30,16.03,68.93,37.77,9.20,28.58,31.16,17.87,0.91,5.68,,,,,,,,,,,
239,7/15/2016,f,sa,,d,2,lg,d,FLD0175,FLD0183,2725,125,0,0,51.35,16.14,67.93,36.84,8.59,28.25,31.09,17.73,0.92,5.73,,,,,,,,,,,
240,7/15/2016,m,mat,h,d,2,lg,d,FLD0346,FLD0190,825,0,0,0,92.45,15.82,68.65,39.60,9.99,29.62,29.05,17.32,0.95,5.94,,,,,,,,,,,
241,7/15/2016,f,mat,preg,d,2,lg,d,FLD0316,FLD0246,0,25,0,0,98.75,15.03,67.11,37.53,8.02,29.52,29.57,17.87,1.11,6.96,,,,,,,,,,,
243,7/22/2016,f,mat,preg,d,2,lg,d,FLD0197,FLD0296,275,0,0,0,91.70,,,,,,,,,,,,,,,,,,,,
244,7/22/2016,m,mat,b,d,2,lg,d,FLD0155,FLD0147,1375,0,50,0,53.55,,,,,,,,,,,,,,,,,,,,
245,7/22/2016,m,mat,b,d,2,lg,d,FLD0327,FLD0299,2425,25,0,0,96.75,,,,,,,,,,,,,,,,,,,,
246,7/22/2016,f,sa,,d,2,lg,d,FLD0299,FLD0235,500,25,225,0,130.55,,,,,,,,,,,,,,,,,,,,
247,7/22/2016,f,mat,preg,d,2,lg,d,FLD0216,FLD0098,425,0,0,0,87.75,,,,,,,,,,,,,,,,,,,,
248,7/23/2016,f,mat,u,d,2,lg,d,FLD0224,FLD0201,1225,0,75,25,121.40,,,,,,,,,,,,,,,,,,,,
249,7/23/2016,?,fl,,d,2,lg,d,FLD0242,FLD0196,2125,150,250,0,128.30,,,,,,,,,,,,,,,,,,,,
250,7/23/2016,m,juv,,d,2,lg,d,FLD0364,FLD0121,275,0,0,0,158.20,,,,,,,,,,,,,,,,,,,,
251,7/23/2016,m,mat,b,d,2,lg,d,FLD0114,FLD0312,950,50,0,25,102.15,,,,,,,,,,,,,,,,,,,,
252,7/26/2016,f,mat,preg,d,2,lg,d,FLD0380,FLD0260,850,0,375,75,111.25,15.61,62.89,35.37,8.16,27.21,27.52,17.89,1.25,7.76,,,,,,,,,,,
253,7/26/2016,m,mat,h,d,2,lg,d,FLD0252,FLD0247,700,25,0,0,194.60,15.70,65.28,36.77,8.78,27.99,28.50,18.01,1.20,7.51,,,,,,,,,,,
255,7/27/2016,?,juv,,d,2,lg,d,FLD0304,FLD0134,175,25,0,0,112.65,,,,,,,,,,,,,,,,,,,,
256,7/28/2016,f,mat,u,d,3,lg,d,FLD0186,FLD0259,575,0,25,0,138.10,16.30,64.96,37.11,9.65,27.46,27.86,17.74,1.03,6.42,,,,,,,,,,,
257,7/28/2016,f,sa,,d,3,lg,d,FLD0203,FLD0194,575,0,0,0,55.60,,,,,,,,,,,,,,,,,,,,
258,7/28/2016,f,mat,u,d,3,lg,d,FLD0295,FLD0301,650,0,0,0,90.65,15.32,70.72,38.68,10.46,28.22,32.04,17.76,0.92,5.76,,,,,,,,,,,
259,7/28/2016,m,mat,b,d,3,lg,d,FLD0156,FLD0170,575,25,0,0,219.70,15.77,70.13,38.97,10.37,28.60,31.16,17.75,0.97,6.04,,,,,,,,,,,
260,7/29/2016,f,mat,lact,d,2,lg,d,FLD0313,FLD0213,1525,0,0,0,59.75,12.88,68.72,38.08,9.64,28.44,30.64,17.97,1.02,6.41,,,,,,,,,,,
261,7/29/2016,f,mat,preg,d,2,lg,d,FLD0130,FLD0149,1100,25,0,0,72.45,14.82,70.47,38.69,9.79,28.89,31.78,17.90,0.94,5.89,,,,,,,,,,,
262,7/29/2016,f,mat,u,d,2,lg,d,FLD0142,FLD0351,1475,0,225,25,68.40,14.01,69.03,38.37,9.83,28.54,30.66,17.94,0.80,4.99,,,,,,,,,,,
263,7/29/2016,f,mat,u,d,3,lg,d,FLD0136,FLD0254,2200,0,225,0,64.75,,,,,,,,,,,,,,,,,,,,
264,7/29/2016,m,mat,h,d,3,lg,d,FLD0320,FLD0275,2100,0,475,0,71.70,,,,,,,,,,,,,,,,,,,,
265,9/30/2016,f,mat,lact,w,1,lg,m,FLD0328,FLD0155,975,0,0,0,130.35,21.26,62.25,36.79,9.62,27.17,25.46,16.81,1.25,7.80,,,,,,,,,,,
266,9/30/2016,m,mat,b,w,3,lg,m,FLD0116,FLD0321,875,0,0,0,69.30,19.19,67.53,38.51,9.99,28.52,29.03,17.00,1.14,7.10,,,,,,,,,,,
267,9/30/2016,m,mat,b,w,2,lg,m,FLD0108,FLD0266,725,0,0,0,116.85,17.01,66.76,38.24,9.27,28.97,28.52,17.16,0.94,5.89,,,,,,,,,,,
268,9/30/2016,f,mat,preg,w,1,lg,m,FLD0206,FLD0231,725,0,0,0,104.45,16.22,66.90,38.25,10.52,27.73,28.65,17.75,1.18,7.38,,,,,,,,,,,
269,9/30/2016,m,mat,h,w,1,lg,m,FLD0119,FLD0101,1300,0,0,0,145.40,,,,,,,,,,,,,,,,,,,,
270,9/30/2016,m,mat,h,w,1,lg,m,FLD0307,FLD0261,1225,0,0,0,145.50,18.24,62.76,35.60,8.99,26.61,27.15,17.19,1.22,7.67,,,,,,,,,,,
271,9/30/2016,f,mat,u,w,3,lg,m,FLD0173,FLD0188,1325,0,0,0,93.35,21.23,57.63,32.79,8.90,23.89,24.84,16.99,1.92,11.95,,,,,,,,,,,
272,9/30/2016,?,sa,,w,1,lg,m,FLD0218,FLD0103,2200,0,0,0,134.85,24.82,56.65,31.80,8.98,22.81,24.86,16.31,1.11,6.92,,,,,,,,,,,
273,9/30/2016,f,mat,u,w,1,lg,m,FLD0311,FLD0106,1250,0,150,0,106.80,20.41,61.12,34.80,9.47,25.33,26.32,17.27,1.22,7.60,,,,,,,,,,,
274,9/3/2016,m,mat,b,w,2,lg,m,FLD0336,FLD0125,2575,0,0,0,119.60,17.08,64.78,37.11,9.59,27.52,27.68,17.40,1.19,7.42,,,,,,,,,,,
275,9/30/2016,m,mat,b,w,1,lg,m,FLD0163,FLD0205,3075,0,0,0,129.35,20.96,61.00,35.00,9.57,25.44,26.00,16.97,1.00,6.22,,,,,,,,,,,
276,9/30/2016,f,mat,u,w,1,lg,m,FLD0325,FLD0336,1800,0,0,0,146.05,22.47,58.96,33.05,8.57,24.48,25.91,16.66,1.09,3.78,,,,,,,,,,,
277,9/30/2016,f,mat,lact,w,1,lg,m,FLD0250,FLD0322,525,0,0,0,122.80,19.38,66.23,38.75,10.35,28.40,27.48,17.39,1.12,7.01,,,,,,,,,,,
278,9/30/2016,f,mat,u,w,2,lg,m,FLD0202,FLD0182,1075,0,0,0,115.95,23.92,57.69,33.18,9.32,23.86,24.51,16.48,1.47,9.18,,,,,,,,,,,
279,10/1/2016,m,mat,h,w,1,lg,m,FLD0158,FLD0219,925,0,0,0,223.75,22.45,57.41,34.09,10.61,23.47,23.33,16.99,1.68,10.51,,,,,,,,,,,
280,10/1/2016,m,mat,h,w,1,lg,m,FLD0099,FLD0306,650,0,0,0,205.25,16.44,68.11,38.46,9.85,28.61,29.65,17.37,0.95,5.97,,,,,,,,,,,
281,10/1/2016,f,mat,preg,w,3,lg,m,FLD0213,FLD0136,2100,0,0,0,103.90,15.92,67.27,38.40,9.53,28.87,28.87,17.50,0.90,5.60,,,,,,,,,,,
282,10/1/2016,f,mat,u,w,3,lg,m,FLD0248,FLD0267,2125,0,0,0,114.80,17.69,66.18,38.71,10.11,28.60,27.47,17.38,1.09,6.80,,,,,,,,,,,
283,10/1/2016,f,mat,lact,w,3,lg,m,FLD0160,FLD0300,1950,0,0,0,74.40,18.76,60.29,33.85,9.06,24.79,26.44,17.56,1.41,8.81,,,,,,,,,,,
284,10/1/2016,f,mat,preg,w,1,lg,m,FLD0355,FLD0176,2550,0,225,0,161.15,16.80,64.26,33.51,8.93,24.57,30.76,17.77,1.37,8.58,,,,,,,,,,,
285,10/1/2016,f,mat,u,w,1,lg,m,FLD0256,FLD0244,250,0,0,0,167.65,20.81,59.99,34.20,9.88,24.33,25.79,17.45,1.40,8.76,,,,,,,,,,,
286,10/1/2016,?,juv,,w,1,lg,m,FLD0287,FLD0105,1275,0,0,0,145.25,18.62,60.42,32.96,7.81,25.15,27.46,17.48,1.30,8.08,,,,,,,,,,,
287,10/1/2016,f,mat,lact,w,2,lg,m,FLD0226,FLD0256,1500,0,0,0,118.75,18.04,62.64,35.20,8.59,26.61,27.44,17.35,1.04,6.50,,,,,,,,,,,
288,10/1/2016,f,mat,lact,w,1,lg,m,FLD0296,FLD0148,775,0,0,0,210.70,20.13,61.70,36.43,9.64,26.79,25.27,16.98,0.96,6.02,,,,,,,,,,,
289,10/2/2016,f,mat,u,w,3,lg,m,FLD0152,FLD0097,300,0,0,0,72.55,25.60,53.93,31.76,9.53,22.23,22.16,15.82,1.08,6.72,,,,,,,,,,,
290,10/2/2016,?,sa,,w,1,lg,m,FLD0180,FLD0269,200,0,0,0,151.15,,,,,,,,,,,,,,,,,,,,
291,10/2/2016,?,sa,,w,1,lg,m,FLD0372,FLD0140,1900,0,0,75,194.40,,,,,,,,,,,,,,,,,,,,
292,10/2/2016,?,sa,,w,1,lg,m,FLD0282,FLD0367,4350,0,0,0,266.30,,,,,,,,,,,,,,,,,,,,
293,10/2/2016,f,mat,preg,w,1,lg,m,FLD0215,FLD0129,550,0,0,0,185.35,,,,,,,,,,,,,,,,,,,,
294,10/2/2016,?,sa,,w,2,lg,m,FLD0236,FLD0243,2150,0,0,0,116.10,,,,,,,,,,,,,,,,,,,,
295,10/4/2016,f,mat,u,w,1,lg,m,FLD0132,FLD0179,2800,0,0,0,148.90,17.18,61.19,35.16,9.65,25.52,26.02,17.41,1.07,6.65,,,,,,,,,,,
296,10/4/2016,f,mat,u,w,1,lg,m,FLD0171,FLD0217,1175,0,0,0,165.90,20.57,57.41,32.51,9.12,23.39,24.90,17.45,1.44,9.00,,,,,,,,,,,
297,10/4/2016,m,mat,h,w,1,lg,m,FLD0300,FLD0278,2450,0,0,0,219.65,22.23,63.19,37.61,9.62,27.99,25.57,17.08,1.25,7.82,,,,,,,,,,,
298,10/4/2016,m,mat,h,w,2,lg,m,FLD0281,FLD0241,1875,0,0,0,116.30,21.44,56.38,33.03,9.79,23.24,23.35,17.63,1.63,10.19,,,,,,,,,,,
299,10/4/2016,m,mat,b,w,1,lg,m,FLD0315,FLD0374,1725,0,0,0,190.95,18.89,61.47,35.98,9.60,26.38,25.49,17.39,1.05,6.55,,,,,,,,,,,
300,10/4/2016,f,mat,preg,w,1,lg,m,FLD0176,FLD0365,1800,0,0,0,170.25,21.94,59.58,34.98,10.38,24.60,24.60,17.12,1.57,9.81,,,,,,,,,,,
301,10/4/2016,f,mat,preg,w,1,lg,m,FLD0157,FLD0184,400,0,0,0,161.75,21.99,62.43,37.44,11.44,26.00,24.99,16.98,1.40,8.70,,,,,,,,,,,
303,10/5/2016,f,mat,preg,w,1,lg,m,FLD0150,FLD0146,400,0,0,0,161.10,16.91,66.79,39.21,9.06,30.15,27.58,18.07,1.04,6.47,,,,,,,,,,,
304,10/7/2016,?,juv,,w,1,lg,m,FLD0164,FLD0108,0,0,0,0,273.95,,,,,,,,,,,,,,,,,,,,
305,10/9/2016,?,juv,,w,1,lg,m,FLD0239,FLD0344,350,175,0,1200,249.15,,,,,,,,,,,,,,,,,,,,
306,10/9/2016,f,mat,preg,w,1,lg,m,FLD0144,FLD0128,1225,25,0,0,227.65,,,,,,,,,,,,,,,,,,,,
307,10/9/2016,f,mat,preg,w,1,lg,m,FLD0276,FLD0165,400,50,0,0,146.15,,,,,,,,,,,,,,,,,,,,
308,10/10/2016,f,mat,preg,w,2,lg,m,FLD0305,FLD0199,725,25,0,25,115.30,,,,,,,,,,,,,,,,,,,,
neg,,,,,,,,,FLD0106,FLD0102,,,,,,,,,,,,,,,,,,,,,,,,,
neg,,,,,,,,,FLD0120,FLD0107,,,,,,,,,,,,,,,,,,,,,,,,,
neg,,,,,,,,,FLD0147,FLD0164,,,,,,,,,,,,,,,,,,,,,,,,,
neg,,,,,,,,,FLD0169,FLD0208,,,,,,,,,,,,,,,,,,,,,,,,,
neg,,,,,,,,,FLD0205,FLD0230,,,,,,,,,,,,,,,,,,,,,,,,,
neg,,,,,,,,,FLD0211,FLD0282,,,,,,,,,,,,,,,,,,,,,,,,,
neg,,,,,,,,,FLD0249,FLD0287,,,,,,,,,,,,,,,,,,,,,,,,,
neg,,,,,,,,,FLD0260,FLD0311,,,,,,,,,,,,,,,,,,,,,,,,,
neg,,,,,,,,,FLD0302,FLD0315,,,,,,,,,,,,,,,,,,,,,,,,,
neg,,,,,,,,,FLD0331,FLD0169,,,,,,,,,,,,,,,,,,,,,,,,,
neg,,,,,,,,,FLD0348,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,,,,,,,,,FLD0354,,,,,,,,,,,,,,,,,,,,,,,,,,
